Instrument group,Instrument,code,mode,unit,Mahidol,Government,Private
Bioscience instrument,Automated western blot,BS01-1A,"Automated western blot - chemiluminescence 
(Instrument use)",run,500,650,"1,000"
Bioscience instrument,Automated western blot,BS01-2A,Automated western blot - fluorescence (Instrument use),run,650,850,"1,300"
Bioscience instrument,Biomolecular imager,BS02-1A,Biomolecular imager (Instrument use),hour,200,250,400
Bioscience instrument,Biomolecular imager,BS02-1B,Biomolecular imager (Program analysis),hour,50,75,100
Bioscience instrument,Bioreactor,BS03-1A,Bioreactor (Instrument use),day,"2,000","2,500","4,000"
Bioscience instrument,ELISpot,BS04-1A,ELISpot (Instrument use),hour,400,500,800
Bioscience instrument,ELISpot,BS04-1B,ELISpot (Program analysis),hour,200,250,400
Bioscience instrument,Flow cytometer,BS05-1A,Flow cytometer - analyzer (Instrument use),hour,"1,000","1,250","2,000"
Bioscience instrument,Flow cytometer,BS05-2A,Flow cytometer - cell sorter (Instrument use),hour,"1,200","1,500","2,400"
Bioscience instrument,Flow cytometer,BS05-1B,Flow cytometer - analyzer (Program analysis),hour,200,250,400
Bioscience instrument,Fragment analyzer,BS06-1A,Fragment analyzer (Instrument use),hour,450,600,900
Bioscience instrument,Gel documentation,BS07-1A,Gel documentation (Instrument use),hour,50,75,100
Bioscience instrument,Image analyzer,BS08-1A,Image analyzer (Instrument use),hour,250,350,500
Bioscience instrument,Incubator,BS09-1A,CO2 incubator (Instrument use),hour,30,40,60
Bioscience instrument,Incubator,BS09-2A,Cooling incubator (Instrument use),hour,30,40,60
Bioscience instrument,Incubator,BS09-3A,Heating incubator (Instrument use),hour,30,40,60
Bioscience instrument,Incubator,BS09-4A,Shaking incubator (Instrument use),hour,30,40,60
Bioscience instrument,Microplate reader,BS10-1A,Microplate reader - absorbance (Instrument use),hour,100,150,200
Bioscience instrument,Microplate reader,BS10-2A,Microplate reader - alpha screen (Instrument use),hour,150,200,300
Bioscience instrument,Microplate reader,BS10-3A,Microplate reader - chemiluminescence (Instrument use),hour,150,200,300
Bioscience instrument,Microplate reader,BS10-4A,Microplate reader - fluorescence (Instrument use),hour,150,200,300
Bioscience instrument,Microplate reader,BS10-5A,"Microplate reader - fluorescence polarization 
(Instrument use)",hour,150,200,300
Bioscience instrument,Microplate reader,BS10-6A,"Microplate reader - time resolved fluorescence 
(Instrument use)",hour,150,200,300
Bioscience instrument,Microplate reader,BS10-7A,"Microplate reader - time resolved FRET 
(Instrument use)",hour,150,200,300
Bioscience instrument,MALDI-TOF MS,BS11-1A,MALDI-TOF MS (Instrument use),hour,"1,250","1,600","2,500"
Bioscience instrument,MALDI-TOF MS,BS11-2A,MALDI-TOF MS - genotyping analysis (Instrument use),hour,900,"1,150","1,800"
Bioscience instrument,MALDI-TOF MS,BS11-3A,MALDI-TOF MS - MALDI-imaging (Instrument use),hour,"2,200","2,750","4,400"
Bioscience instrument,MALDI-TOF MS,BS11-1B,MALDI-TOF MS (Program analysis),hour,550,700,"1,100"
Bioscience instrument,MALDI-TOF MS,BS11-2B,MALDI-TOF MS - genotyping analysis (Program analysis),hour,450,600,900
Bioscience instrument,MALDI-TOF MS,BS11-1D,MALDI-TOF MS - biotyper (Test),sample,500,650,"1,000"
Bioscience instrument,MALDI-TOF MS,BS11-2D,MALDI-TOF MS - protein molecular weight measurement (Test),sample,"1,000","1,250","2,000"
Bioscience instrument,MALDI-TOF MS,BS11-3D,MALDI-TOF MS - polymer (Test),sample,"1,300","1,650","2,600"
Bioscience instrument,PCR machine,BS12-1A,PCR machine (Instrument use),hour,100,150,200
Bioscience instrument,PCR machine,BS12-2A,Real-time PCR machine (Instrument use),hour,300,400,600
Bioscience instrument,Sequencer,BS13-1A,Benchtop sequencer (Instrument use),hour,200,250,400
Bioscience instrument,Sequencer,BS13-2A,Production-scale sequencer (Instrument use),hour,300,400,600
Bioscience instrument,Sequencer,BS13-1C,Benchtop sequencer (Test and analysis),hour,300,400,600
